site_code,PM10,lat,long,color,x2,half
BX1,18.4,51.4659928,0.184848786,green,102.9319856,25.7329964
BN2,19.1,51.591901,-0.205992,green,103.183802,25.7959505
HS7,19.7,51.463402,-0.427525,green,102.926804,25.731701
GN3,20.2,51.486957,0.095111,yellow,102.973914,25.7434785
CR3,20.9,51.40401,-0.098814,yellow,102.80802,25.702005
LB3,22.2,51.464866,-0.099161,yellow,102.929732,25.732433
CT3,26.3,51.51384718,-0.077765682,yellow,103.0276944,25.75692359
WL4,29.6,51.6017185,-0.016498263,yellow,103.203437,25.80085925
TH4,35.7,51.515077,-0.008387,orange,103.030154,25.7575385
MY1,39.5,51.52254,-0.15459,orange,103.04508,25.76127
BT5,40.9,51.552656,-0.248774,red,103.105312,25.776328
EA8,41.3,51.518948,-0.265617,red,103.037896,25.759474
